Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1037404-67266949,gpsku empty,IC-P-2009-000001,8700S09,
 1037409-67266949,gpsku empty,IC-P-2009-000001,8700S09,
 1037447-95625913,gpsku empty,IC-P-2012-000002,8710S12,
1000066,gpsku empty,IC-P-2003-000001,8700S03,
 1011022-60233209,gpsku empty,IC-P-2006-000019,8705S06,
 1025567-96872041,gpsku empty,IC-P-2006-000019,8705S06,
 1025552-43271531,gpsku empty,CC-P-2009-000001,870P09,
 1037508-11898618,gpsku empty,IC-P-2006-000001,8700S06,
1000067,gpsku empty,IC-P-2003-000001,8700S03,
 1001218-14779602,gpsku empty,IC-P-1996-000002,8700S96,
 1017401-89751010,gpsku empty,IC-P-2009-000001,8700S09,
 1017398-27715191,gpsku empty,IC-P-2009-000004,8720S09,
 1025607-91485675,gpsku empty,CC-P-2009-000009,8756S09,
 1037513-56996388,gpsku empty,IC-P-1996-000001,8730S96,
 1037525-62629225,gpsku empty,CC-P-2009-000001,870P09,
1000069,gpsku empty,MI-P-2003-000009,8750SMI03,
1000068,gpsku empty,IC-P-2003-000017,8705S03,
 1007748-73636516,gpsku empty,IC-P-2006-000019,8705S06,
 1017415-46480388,gpsku empty,IC-P-2009-000010,8750S09,
 1017423-34758207,gpsku empty,IC-P-2009-000014,8780S09,
 1025654-87699058,gpsku empty,CA-P-2010-000009,8708SCA10,
 1025621-98791584,gpsku empty,CC-P-2009-000010,8709S09,
 1025639-69707077,gpsku empty,IC-P-2009-000019,8705S09,
 1004566-20687908,gpsku empty,IC-P-1996-000002,8700S96,
 1007767-42748592,gpsku empty,IC-P-2006-000001,8700S06,
 1007777-45562716,gpsku empty,IC-P-2006-000002,8710S06,
 1007761-49515488,gpsku empty,IC-P-1996-000002,8700S96,
 1007772-85613525,gpsku empty,IC-P-2003-000017,8705S03,
 1011081-17404528,gpsku empty,IC-P-2006-000016,8706S06,
 1017431-73250738,gpsku empty,NY-P-2007-000008,8780SNY07,
 1001235-95295154,gpsku empty,IC-P-1996-000004,8750S96,
 1004588-34716100,gpsku empty,IC-P-2003-000016,8722S03,
 1004577-61652934,gpsku empty,IC-P-1996-000001,8730S96,
 1007779-90852629,gpsku empty,IC-P-2003-000007,8760S03,
 1007791-60420527,gpsku empty,IC-P-2000-000001,8700S00,
 1011085-32518701,gpsku empty,NY-P-2007-000004,8740SNY07,
 1037581-54113866,gpsku empty,IC-P-1996-000001,8730S96,
 1004594-29878366,gpsku empty,IC-P-2003-000019,8707S03,
 1004604-56435353,gpsku empty,IC-P-2003-000001,8700S03,
 1004607-58631619,gpsku empty,IC-P-2003-000016,8722S03,
 1004595-78905573,gpsku empty,IC-P-2006-000001,8700S06,
 1004596-62193391,gpsku empty,IC-P-2006-000003,8740S06,
 1025680-40980183,gpsku empty,IC-P-2009-000002,8710S09,
 1037631-39284165,gpsku empty,IC-P-2009-000001,8700S09,
 1037653-87106030,gpsku empty,CA-P-2010-000007,8700SCA10,
1000070,gpsku empty,IC-P-2003-000004,8720S03,
 1001250-66668637,gpsku empty,IC-P-1998-000004,8750S98,
 1001252-72121551,gpsku empty,IC-P-2003-000010,8750S03,
 1004613-28981140,gpsku empty,IC-P-2003-000015,8722S98,
 1025705-65509153,gpsku empty,CC-P-2006-000001,870S06,
1000071,gpsku empty,NC-P-2002-000006,8740SNC02,
 1011100-80317234,gpsku empty,CA-P-2007-000002,8700SCA07,
 1011101-91757095,gpsku empty,CA-P-2007-000002,8700SCA07,
 1017484-72586927,gpsku empty,NY-P-2007-000006,8730SNY07,
 1025753-28374771,gpsku empty,IC-P-2009-000016,8706S09,
 1025734-73704824,gpsku empty,IC-P-2009-000001,8700S09,
 1037716-81503016,gpsku empty,IC-P-2012-000019,8705S12,
 1037717-81503016,gpsku empty,IC-P-2012-000019,8705S12,
 1037759-51643444,gpsku empty,IC-P-2012-000019,8705S12,
 1011116-30415054,gpsku empty,IC-P-2006-000019,8705S06,
 1011108-96298893,gpsku empty,IC-P-2003-000017,8705S03,
 1017517-76582099,gpsku empty,IC-P-2009-000001,8700S09,
 1017509-83641702,gpsku empty,IC-P-2009-000019,8705S09,
 1025776-87699058,gpsku empty,IC-P-2009-000019,8705S09,
 1025774-96491675,gpsku empty,IC-P-2009-000004,8720S09,
 1025769-80041610,gpsku empty,NY-P-2010-000011,8708SNY10,
 1037829-96758197,gpsku empty,IC-P-2009-000004,8720S09,
 1037809-37126448,gpsku empty,CC-P-2009-000005,872S09,
 1037815-89740225,gpsku empty,IC-P-2009-000016,8706S09,
 1037817-42225492,gpsku empty,IC-P-2009-000001,8700S09,
1000072,gpsku empty,WI-2003-000001,8700SWI03,
 1007841-26261674,gpsku empty,IC-P-1995-000001,8710S95,
 1017528-60517832,gpsku empty,IC-P-2009-000001,8700S09,
 1017531-48518142,gpsku empty,IC-P-2006-000019,8705S06,
 1025832-21941055,gpsku empty,CC-P-2006-000010,8709S06,
 1025841-28563694,gpsku empty,YC-P-2008-000001,8700SNYC08,
1000073,gpsku empty,IC-P-2003-000004,8720S03,
 1004647-97711284,gpsku empty,IC-P-2000-000005,8730S00,
 1007845-80123726,gpsku empty,IC-P-2003-000015,8722S98,
 1011146-25592315,gpsku empty,NY-P-2007-000002,8700SNY07,
 1025848-92348826,gpsku empty,CA-P-2010-000007,8700SCA10,
 1037900-94183389,gpsku empty,IC-P-2009-000001,8700S09,
 1037868-17743973,gpsku empty,IC-P-2009-000001,8700S09,
 1037892-82363270,gpsku empty,IC-P-2012-000016,8706S12,
1000074,gpsku empty,IC-P-2003-000002,8710S03,
 1004667-84662610,gpsku empty,OH-P-2006-000001,8710SOH06,
 1007865-27516606,gpsku empty,IC-P-2003-000003,8740S03,
 1007862-58129112,gpsku empty,IC-P-2006-000002,8710S06,
 1025868-75534363,gpsku empty,NY-P-2010-000009,8780SNY10,
 1025878-73651870,gpsku empty,IC-P-2009-000002,8710S09,
 1025889-98146167,gpsku empty,IC-P-2009-000001,8700S09,
